"","pointEstimate","mean","median","lci","uci","stDev","cv"
"Unassigned",0.177099732211143,0.17676893405515,0.175896695292911,0.156600628122252,0.197505935958681,0.0124896897292786,7.0655456492044
"OtsRAPH08",0.219271897152469,0.220407305058272,0.220773759461733,0.199247066362289,0.241349273098642,0.0129577451628067,5.87899986317644
"OtsCLWH08",0.0826646652408692,0.0825517574054183,0.0826646652408692,0.0695592914831704,0.0967781446722371,0.00845801504186857,10.2457116695052
"OtsDWOR08",0.148480199104877,0.148304447032467,0.148480199104877,0.129288880853226,0.168681586738193,0.0115108681538722,7.76164733034083
"OtsLOOK08",0.0239664709072008,0.0237787335517611,0.0229678679527341,0.0159776472714672,0.0320052246906577,0.00471921231740581,19.8463568597256
"OtsPOWP08",0.0635106574411556,0.0634824304822929,0.0635106574411556,0.0504052836834568,0.0766160311988544,0.0079364987509699,12.5018823171612
"OtsRAPH09",0.0166721806430773,0.0167117770721046,0.0166721806430773,0.0104201129019233,0.0229763489487408,0.00411029213673943,24.59518290009
"OtsCTHW08",0.00886699507389163,0.00888472906403941,0.00886699507389163,0.00394088669950739,0.0137931034482759,0.00288095690594913,32.4259398928628
"OtsMCCA08",0.0797300884196588,0.0797099035871475,0.0797300884196588,0.0666099472873099,0.093859471177573,0.00879416431001804,11.0327122656764
"OtsSAWT08",0.0766360935099679,0.0769983732247423,0.0776313674516558,0.0636975322680253,0.0906196923906828,0.00836959333771969,10.8698313836977
"OtsGRUW08",0.00295566502463054,0.0031448275862069,0.00295566502463054,0.000985221674876847,0.00596059113300488,0.00177164752215774,56.3352830510686
"OtsNPFH08",0.0020118882476554,0.00192738894125387,0.0020118882476554,0,0.00407407370150213,0.00143006411058795,74.1969656450151
"OtsTUCW08",0.00103707544723879,0.00102048224008297,0.00103707544723879,0,0.00311122634171636,0.00102334251108824,100.28028621106
"OtsDWOR09",0.00892770345740196,0.00882652281821807,0.00892770345740196,0.00396786820328976,0.0138875387115142,0.00293076394186901,33.2040601064313
"OtsIMNW08",0.0387413241784604,0.0382982823686247,0.0382446405351468,0.0288076513121885,0.0486749970447323,0.00620175021628663,16.1932855280406
"OtsSAWT09",0.00494638856751103,0.00480788968762072,0.00494638856751103,0.000989277713502206,0.00791422170801765,0.00213227592444815,44.3495184579275
"OtsJHNW08",0.00103707544723879,0.00105574280528908,0.00103707544723879,0,0.00311122634171636,0.00100094656061889,94.8096975517455
"OtsIMNW09",0.00809549445256243,0.00806108860113904,0.00809549445256243,0.00404774722628121,0.0131551784854139,0.00287021633469537,35.6058155010206
"OtsCTHW09",0.00101027653289258,0.00102644095741886,0.00101027653289258,0,0.00303082959867775,0.00102920338891279,100.269127169367
"OtsMCCA09",0.0132806737592275,0.0132786305786492,0.0132806737592275,0.00817272231337078,0.0194102154942556,0.00359721562405354,27.0902605712786
"OtsJHNW09",0.00103707544723879,0.00103914959813326,0.00103707544723879,0,0.00311122634171636,0.000938902881266306,90.3530043174686
"OtsPAHH08",0.00400781724754133,0.00387956709562001,0.00400781724754133,0.00100195431188533,0.00701368018319733,0.00191657226274414,49.4017042496295
"OtsPOWP09",0.00148757613600611,0.00152922826781428,0.00148757613600611,0,0.00446272840801833,0.00142142713059424,92.9506183289352
"OtsLSTW08",0.0125133997655823,0.0123903513345541,0.011992008108683,0.00625669988279116,0.0187700996483735,0.00371462995495803,29.9800211846996
"OtsLSTW09",0.00100399640770085,0.00110439604847094,0.00100399640770085,0,0.00301198922310256,0.00105501269494266,95.5284742645855
"OtsPAHH09",0.00100759017680185,0.00101162053750906,0.00100759017680185,0,0.00302277053040554,0.000982017343307698,97.0736859223667
